id;tmdb;title;genres;popularity;year;runtime;cast;keywords;similar
16;28;Apocalypse Now;['Drama', 'War'];54;1979;147;['Martin Sheen', 'Frederic Forrest', 'Albert Hall'];[];[911598, 572488, 736285]
112;1578;Raging Bull;['Drama'];18;1980;129;['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci'];[];[263373, 22621, 22657]
106;391;Per un pugno di dollari;['Western'];33;1964;99;['Clint Eastwood', 'Marianne Koch', 'Gian Maria Volonté'];[];[22602, 24748, 265069]
79;24;Kill Bill: Vol. 1;['Action', 'Crime'];83;2003;111;['Uma Thurman', 'Lucy Liu', 'Vivica A. Fox'];[];[728887, 1069487, 1291191]
157;961;The General;['Comedy', 'Action', 'Adventure'];16;1926;79;['Buster Keaton', 'Marion Mack', 'Glen Cavender'];[];[252707, 11558, 11570]
156;9552;The Exorcist;['Horror', 'Drama'];58;1973;122;['Ellen Burstyn', 'Linda Blair', 'Jason Miller'];[];[409460, 6466, 9003]
115;11645;乱;['Action', 'Drama', 'History'];16;1985;160;['Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu'];[];[263336, 22672, 22681]
75;103663;Jagten;['Drama'];20;2012;116;['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp'];[];[409463, 6443, 6512]
48;12;Finding Nemo;['Animation', 'Family'];98;2003;100;['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould'];[];[11544, 11625, 12593]
116;2062;Ratatouille;['Animation', 'Comedy', 'Family'];107;2007;111;['Patton Oswalt', 'Ian Holm', 'Lou Romano'];[];[588890, 22582, 22623]
158;238;The Godfather;['Drama', 'Crime'];161;1972;175;['Marlon Brando', 'Al Pacino', 'James Caan'];[];[578296, 11546, 11560]
105;975;Paths of Glory;['War', 'Drama', 'History'];21;1957;88;['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou'];[];[263341, 263371, 263377]
